,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.497,103.00,Original 103% CDI por modalmais,FGC,CDB,10.12% a.a.,12/10/2023,modalmais,Original
1,5.497,102.00,Daycoval 102% CDI por Daycoval,FGC,CDB,10.02% a.a.,16/10/2023,Daycoval,Daycoval
2,5.496,106.00,Daycoval 106% CDI por Daycoval,FGC,CDB,10.10% a.a.,11/10/2023,Daycoval,Daycoval
3,5.495,102.00,C6 Bank 102% CDI por Daycoval,FGC,CDB,10.02% a.a.,14/10/2023,Daycoval,C6 Bank
4,5.492,12.04,BR Partners IPCA + 6% por modalmais,FGC,CDB,9.93% a.a.,16/10/2023,modalmais,BR Partners
5,5.492,100.25,Bradesco 100.25% CDI por Ágora Investimentos,FGC,CDB,9.85% a.a.,18/10/2023,Ágora Investimentos,Bradesco
6,5.492,101.00,Daycoval 101% CDI por Daycoval,FGC,CDB,9.92% a.a.,16/10/2023,Daycoval,Daycoval
7,5.491,101.75,BTG Pactual 101.75% CDI por Nova Futura Investimentos,FGC,CDB,10.00% a.a.,12/10/2023,Nova Futura Investimentos,BTG Pactual
8,5.489,101.24,NBC 101.24% CDI por Nova Futura Investimentos,FGC,CDB,9.95% a.a.,12/10/2023,Nova Futura Investimentos,NBC
9,5.488,99.00,Daycoval 99% CDI por Guide Investimentos,FGC,CDB,9.73% a.a.,19/10/2023,Guide Investimentos,Daycoval
10,5.487,100.00,NuBank 100% CDI por NuBank,FGC,RDB,9.82% a.a.,16/10/2023,NuBank,NuBank
11,5.487,100.00,Banco Inter 100% CDI por Banco Inter,FGC,CDB,9.82% a.a.,16/10/2023,Banco Inter,Banco Inter
