,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.568,11.52,BTG Pactual IPCA + 5.5% por Nu invest,FGC,LCA,11.52% a.a.,15/10/2023,Nu invest,BTG Pactual
1,5.568,97.00,Banco Inter 97% CDI por Banco Inter,FGC,LCI,11.55% a.a.,11/10/2023,Banco Inter,Banco Inter
2,5.567,13.87,BTG Pactual IPCA + 7.73% por Nova Futura Investimentos,FGC,CDB,11.44% a.a.,16/10/2023,Nova Futura Investimentos,BTG Pactual
3,5.567,13.99,ABC Prefixado 13.99% por ABC Personal,FGC,CDB,11.53% a.a.,12/10/2023,ABC Personal,ABC
4,5.566,95.05,ABC 95.05% CDI por ABC Personal,FGC,LCA,11.32% a.a.,18/10/2023,ABC Personal,ABC
5,5.565,117.00,BRK Financeira 117% CDI por Nova Futura Investimentos,FGC,CDB,11.49% a.a.,12/10/2023,Nova Futura Investimentos,BRK Financeira
6,5.565,116.00,BRK Financeira 116% CDI por Órama,FGC,CDB,11.40% a.a.,16/10/2023,Órama,BRK Financeira
7,5.565,115.97,Tesouro SELIC 2024,,Tesouro Direto,11.39% a.a.,16/10/2023,Rico Investimentos,Tesouro Nacional
8,5.564,13.80,RNX Prefixado 13.8% por Órama,FGC,CDB,11.38% a.a.,16/10/2023,Órama,RNX
9,5.562,13.75,Agibank Prefixado 13.75% por modalmais,FGC,CDB,11.34% a.a.,16/10/2023,modalmais,Agibank
10,5.560,13.77,Digimais Prefixado 13.77% por Nova Futura Investimentos,FGC,CDB,11.35% a.a.,13/10/2023,Nova Futura Investimentos,Digimais
11,5.560,115.00,Bari 115% CDI por Bari,FGC,CDB,11.30% a.a.,16/10/2023,Bari,Bari
