,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,6.037,102.50,Alfa 102.5% CDI por Guide Investimentos,FGC,CDB,9.88% a.a.,17/10/2024,Guide Investimentos,Alfa
1,6.022,103.00,Daycoval 103% CDI por Daycoval,FGC,CDB,9.93% a.a.,06/10/2024,Daycoval,Daycoval
2,6.015,100.25,Bradesco 100.25% CDI por Ágora Investimentos,FGC,CDB,9.66% a.a.,18/10/2024,Ágora Investimentos,Bradesco
3,6.014,100.51,BV 100.51% CDI por Nova Futura Investimentos,FGC,CDB,9.69% a.a.,16/10/2024,Nova Futura Investimentos,BV
4,6.011,102.00,Daycoval 102% CDI por Daycoval,FGC,CDB,9.83% a.a.,06/10/2024,Daycoval,Daycoval
5,6.010,86.00,Bancoob 86% CDI por XP Investimentos,FGC,LCA,9.68% a.a.,15/10/2024,XP Investimentos,Bancoob
6,6.008,100.00,NuBank 100% CDI por NuBank,FGC,RDB,9.64% a.a.,16/10/2024,NuBank,NuBank
7,6.008,100.00,ABC 100% CDI por ABC Personal,FGC,CDB,9.64% a.a.,16/10/2024,ABC Personal,ABC
8,6.001,101.00,Daycoval 101% CDI por Daycoval,FGC,CDB,9.73% a.a.,06/10/2024,Daycoval,Daycoval
9,5.999,100.00,Banco Master 100% CDI por Órama,FGC,CDB,9.64% a.a.,10/10/2024,Órama,Banco Master
10,5.999,100.00,Voiter 100% CDI por Órama,FGC,CDB,9.64% a.a.,10/10/2024,Órama,Voiter
11,5.990,100.00,Banco Inter 100% CDI por Banco Inter,FGC,CDB,9.64% a.a.,06/10/2024,Banco Inter,Banco Inter
