1__todos_24.csv,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,6.316,14.60,Will Financeira Prefixado 14.6% por Órama,FGC,CDB,12.52% a.a.,10/10/2024,Órama,Will Financeira
1,6.315,14.71,BRK Financeira IPCA + 8.52% por Nova Futura Investimentos,FGC,CDB,12.62% a.a.,06/10/2024,Nova Futura Investimentos,BRK Financeira
2,6.314,14.70,BRK Financeira Prefixado 14.7% por Nova Futura Investimentos,FGC,CDB,12.61% a.a.,06/10/2024,Nova Futura Investimentos,BRK Financeira
3,6.311,14.45,Will Financeira Prefixado 14.45% por modalmais,FGC,CDB,12.40% a.a.,15/10/2024,modalmais,Will Financeira
4,6.265,14.00,BMG IPCA + 7.85% por Órama,FGC,CDB,12.01% a.a.,14/10/2024,Órama,BMG
5,6.263,123.66,Tesouro SELIC 2027,,Tesouro Direto,11.94% a.a.,16/10/2024,Rico Investimentos,Tesouro Nacional
6,6.259,13.95,Facta Financeira Prefixado 13.95% por XP Investimentos,FGC,CDB,11.96% a.a.,14/10/2024,XP Investimentos,Facta Financeira
7,6.259,13.82,Banco Master IPCA + 7.68% por Nu invest,FGC,CDB,11.86% a.a.,19/10/2024,Nu invest,Banco Master
8,6.254,125.00,Banco Master 125% CDI por Nu invest,FGC,CDB,12.07% a.a.,06/10/2024,Nu invest,Banco Master
9,6.244,13.67,BMG IPCA + 7.54% por Nova Futura Investimentos,FGC,CDB,11.73% a.a.,20/10/2024,Nova Futura Investimentos,BMG
10,6.226,13.57,Will Financeira Prefixado 13.57% por Will Financeira,FGC,RDB,11.63% a.a.,15/10/2024,Will Financeira,Will Financeira
11,6.220,120.00,Bari 120% CDI por Bari,FGC,CDB,11.58% a.a.,15/10/2024,Bari,Bari
