,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,8.874,124.50,Banco Master 124.5% CDI por XP Investimentos,FGC,CDB,12.20% a.a.,15/10/2027,XP Investimentos,Banco Master
1,8.756,121.50,Will Financeira 121.5% CDI por modalmais,FGC,CDB,11.89% a.a.,15/10/2027,modalmais,Will Financeira
2,8.707,13.41,Will Financeira Prefixado 13.41% por Will Financeira,FGC,RDB,11.77% a.a.,16/10/2027,Will Financeira,Will Financeira
3,8.697,120.00,Digimais 120% CDI por modalmais,FGC,CDB,11.74% a.a.,15/10/2027,modalmais,Digimais
4,8.620,118.00,Caruana Financeira 118% CDI por modalmais,FGC,CDB,11.54% a.a.,15/10/2027,modalmais,Caruana Financeira
5,8.620,118.00,Caruana Financeira 118% CDI por Nova Futura Investimentos,FGC,CDB,11.54% a.a.,15/10/2027,Nova Futura Investimentos,Caruana Financeira
6,8.620,118.00,Midway Financeira 118% CDI por XP Investimentos,FGC,CDB,11.54% a.a.,15/10/2027,XP Investimentos,Midway Financeira
7,8.605,13.11,Banco Master IPCA + 7.01% por Nu invest,FGC,CDB,11.50% a.a.,16/10/2027,Nu invest,Banco Master
8,8.593,117.00,Digimais 117% CDI por Guide Investimentos,FGC,CDB,11.44% a.a.,20/10/2027,Guide Investimentos,Digimais
9,8.581,117.00,Caruana Financeira 117% CDI por Nu invest,FGC,CDB,11.44% a.a.,17/10/2027,Nu invest,Caruana Financeira
10,8.566,117.00,Paulista 117% CDI por Guide Investimentos,FGC,CDB,11.44% a.a.,09/10/2027,Guide Investimentos,Paulista
11,8.562,116.50,Agibank 116.5% CDI por Nova Futura Investimentos,FGC,CDB,11.39% a.a.,15/10/2027,Nova Futura Investimentos,Agibank
