,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,8874,12450,Banco Master 124.5% CDI por XP Investimentos,FGC,CDB,12.20% a.a.,15/10/2027,XP Investimentos,Banco Master
1,8756,12150,Will Financeira 121.5% CDI por modalmais,FGC,CDB,11.89% a.a.,15/10/2027,modalmais,Will Financeira
2,8707,1341,Will Financeira Prefixado 13.41% por Will Financeira,FGC,RDB,11.77% a.a.,16/10/2027,Will Financeira,Will Financeira
3,8697,12000,Digimais 120% CDI por modalmais,FGC,CDB,11.74% a.a.,15/10/2027,modalmais,Digimais
4,8620,11800,Caruana Financeira 118% CDI por modalmais,FGC,CDB,11.54% a.a.,15/10/2027,modalmais,Caruana Financeira
5,8620,11800,Caruana Financeira 118% CDI por Nova Futura Investimentos,FGC,CDB,11.54% a.a.,15/10/2027,Nova Futura Investimentos,Caruana Financeira
6,8620,11800,Midway Financeira 118% CDI por XP Investimentos,FGC,CDB,11.54% a.a.,15/10/2027,XP Investimentos,Midway Financeira
7,8605,1311,Banco Master IPCA + 7.01% por Nu invest,FGC,CDB,11.50% a.a.,16/10/2027,Nu invest,Banco Master
8,8593,11700,Digimais 117% CDI por Guide Investimentos,FGC,CDB,11.44% a.a.,20/10/2027,Guide Investimentos,Digimais
9,8581,11700,Caruana Financeira 117% CDI por Nu invest,FGC,CDB,11.44% a.a.,17/10/2027,Nu invest,Caruana Financeira
10,8566,11700,Paulista 117% CDI por Guide Investimentos,FGC,CDB,11.44% a.a.,09/10/2027,Guide Investimentos,Paulista
11,8562,11650,Agibank 116.5% CDI por Nova Futura Investimentos,FGC,CDB,11.39% a.a.,15/10/2027,Nova Futura Investimentos,Agibank
12,8562,11600,Banco Master 116% CDI por Guide Investimentos,FGC,CDB,11.34% a.a.,22/10/2027,Guide Investimentos,Banco Master
13,8510,1284,Pine IPCA + 6.75% por modalmais,FGC,CDB,11.26% a.a.,16/10/2027,modalmais,Pine
14,8505,11500,Luso Brasileiro 115% CDI por Nova Futura Investimentos,FGC,CDB,11.24% a.a.,15/10/2027,Nova Futura Investimentos,Luso Brasileiro
15,8485,11400,Luso Brasileiro 114% CDI por Guide Investimentos,FGC,CDB,11.14% a.a.,22/10/2027,Guide Investimentos,Luso Brasileiro
16,8442,1260,BMG IPCA + 6.53% por Nova Futura Investimentos,FGC,CDB,11.05% a.a.,20/10/2027,Nova Futura Investimentos,BMG
17,8439,11300,Santinvest Financeira 113% CDI por Guide Investimentos,FGC,CDB,11.04% a.a.,20/10/2027,Guide Investimentos,Santinvest Financeira
18,8438,1263,Will Financeira Prefixado 12.63% por Will Financeira,FGC,LC,11.07% a.a.,16/10/2027,Will Financeira,Will Financeira
